Station_Id, obs_val
01KG014A,10.0714285714
01KG014A,7.5714285714
01KG014A,0
01KG014A,0
01KG014A,0
01KG014A,0
01KG014A,3.4285714286
01KG014A,0
01KG014A,0.2857142857
01KG014A,4.3571428571
01KG014A,11.7571428571
01KG014A,9.7142857143
01KG014A,2.4285714286
01KG014A,0
01KG014A,12.1428571429
01KG014A,0
01KG014A,8.5714285714
01KG014A,6.7142857143
01KG014A,6.7142857143
01KG014A,3.1714285714
01KG014A,2.6428571429
01KG014A,11.2571428571
01KG014A,10.2
01KG014A,10.9285714286
01KG014A,0.2857142857
01KG014A,2.6857142857
01KG014A,1.8571428571
01KG014A,0.9285714286
01KG014A,1.6
01KG014A,4.8571428571
01KG014A,1.5714285714
01KG014A,0.1428571429
01KG014A,0
01KG014A,0
01KG014A,4.7
01KG014A,10
01KG014A,27.6285714286
01KG014A,6.0285714286
01KG014A,1
01KG014A,0.3571428571
01KG014A,1
01KG014A,25.1285714286
01KG014A,0.1428571429
01KG014A,9.4142857143
01KG014A,2.5714285714
01KG014A,6.4714285714
01KG014A,3.1142857143
01KG014A,0.5142857143
01KG014A,0.2857142857
01KG014A,1.8571428571
01KG014A,0
01KG014A,0
